for a=65, m=1021
 i        pi                   N          
1        2.8557961292275644   10         
2        2.972180650570685    20         
3        3.018104599814487    30         
4        2.968634694466957    40         
5        3.030731775986172    50         
6        3.0783299171293224   60         
7        3.0516415088333924   70         
8        3.109958956340419    80         
9        3.121039075704727    90         
10       3.1240299735784753   100        
11       3.1297816401659464   110        
12       3.0924162533164505   120        
13       3.0782344565180026   130        
14       3.089634424428914    140        
15       3.1080310808828813   150        
16       3.126036384163104    160        
17       3.110126760829027    170        
18       3.0886785800171817   180        
19       3.080208472100374    190        
20       3.0790720145507304   200        
21       3.0852158453470664   210        
22       3.0820216079427123   220        
23       3.0954264994674254   230        
24       3.0931356503315093   240        
25       3.0971259597469816   250        
26       3.1069284987092893   260        
27       3.097786754054425    270        
28       3.110367674756708    280        
29       3.1038497133223406   290        
30       3.108291260798339    300        
31       3.1059555543234088   310        
32       3.112028328465785    320        
33       3.1150174394072536   330        
34       3.118512526366166    340        
35       3.1302744565098277   350        
36       3.139257493382063    360        
37       3.1364195487196307   370        
38       3.129592027679967    380        
39       3.1316302276911774   390        
40       3.1238811347143263   400        
41       3.1235033455401844   410        
42       3.118583412603224    420        
43       3.1209315017129917   430        
44       3.128494000874159    440        
45       3.1274627621047553   450        
46       3.1274282407166067   460        
47       3.1240076005525768   470        
48       3.119174363023337    480        
49       3.123949144398356    490        
50       3.1265716649166957   500        
51       3.123484808018782    510        
52       3.128216892842949    520        
53       3.1284283130535653   530        
54       3.1281576205137487   540        
55       3.1325501184737257   550        
56       3.132574326948854    560        
57       3.1319505189257315   570        
58       3.131143357735046    580        
59       3.132149776510945    590        
60       3.13571159775883     600        
61       3.1392323089962493   610        
62       3.1450295722634256   620        
63       3.152694289096013    630        
64       3.147312662098256    640        
65       3.1514097222418695   650        
66       3.1556061269556985   660        
67       3.1506834643583925   670        
68       3.1479830290164164   680        
69       3.145950463802659    690        
70       3.1484526620177844   700        
71       3.145605801760062    710        
72       3.147926478017364    720        
73       3.14446540199057     730        
74       3.145970682465334    740        
75       3.1489963354884734   750        
76       3.1457646348065516   760        
77       3.1445938560461197   770        
78       3.1436616741675065   780        
79       3.138383562401559    790        
80       3.1406355279114466   800        
81       3.1431557314960252   810        
82       3.136911501213918    820        
83       3.140756036081591    830        
84       3.1415667670773617   840        
85       3.1466437135879923   850        
86       3.1440089628169976   860        
87       3.1429025031975417   870        
88       3.1401131022079203   880        
89       3.139886293277144    890        
90       3.141656434694745    900        
91       3.141988303930111    910        
92       3.1439504660179614   920        
93       3.1439900844912074   930        
94       3.1476843853772385   940        
95       3.1492239400176807   950        
96       3.151405103961933    960        
97       3.1564027020740393   970        
98       3.158117870211145    980        
99       3.1588163721371663   990        
100      3.161487930036742    1000 

for a=572, m=16381
i        pi                   N          
1        2.565898300701104    10         
2        3.023446024102757    20         
3        3.0730900318406347   30         
4        3.083501883175438    40         
5        3.0652010519089954   50         
6        3.0596577755853978   60         
7        3.1039400473864904   70         
8        3.0815173115269032   80         
9        3.05173486421699     90         
10       3.0246846134481626   100        
11       3.04263660325018     110        
12       3.066478818351024    120        
13       3.0729608760051494   130        
14       3.109377145892281    140        
15       3.094586702294173    150        
16       3.1241735121819936   160        
17       3.1445440046703643   170        
18       3.158523246240505    180        
19       3.1462007027325334   190        
20       3.1754811043199416   200        
21       3.1783733881712672   210        
22       3.2005813829523677   220        
23       3.2029671012069842   230        
24       3.186746523543559    240        
25       3.18323657910413     250        
26       3.175640281070741    260        
27       3.1689076034191572   270        
28       3.164463813512068    280        
29       3.1670509123144206   290        
30       3.18867540821371     300        
31       3.196216103867532    310        
32       3.1906498932284846   320        
33       3.177364653292224    330        
34       3.184058705192789    340        
35       3.1838721367186653   350        
36       3.1816942365437475   360        
37       3.174482268242619    370        
38       3.181534750948772    380        
39       3.176471362246787    390        
40       3.180836231102699    400        
41       3.1814350083214697   410        
42       3.1934641953234455   420        
43       3.190772324057451    430        
44       3.1910071363034804   440        
45       3.189397191764942    450        
46       3.187984898897637    460        
47       3.1851713746876236   470        
48       3.1740944584011266   480        
49       3.1636053779153452   490        
50       3.1740957605065163   500        
51       3.167855849234482    510        
52       3.1665494360933324   520        
53       3.1657569920786655   530        
54       3.176335945834962    540        
55       3.1847409856827866   550        
56       3.191974972308926    560        
57       3.194511349063731    570        
58       3.1969480812078417   580        
59       3.193088045743284    590        
60       3.1995504396538985   600        
61       3.189655717386464    610        
62       3.1859665129587316   620        
63       3.1808453404872155   630        
64       3.183807098475775    640        
65       3.1840063663326137   650        
66       3.181265174115377    660        
67       3.17756477639141     670        
68       3.178867187825577    680        
69       3.1806638872113266   690        
70       3.182916260049366    700        
71       3.1832228432387217   710        
72       3.1899376176779346   720        
73       3.191686481566604    730        
74       3.184351433053324    740        
75       3.1793490622115455   750        
76       3.180311442468916    760        
77       3.1781443204655933   770        
78       3.1765215060649274   780        
79       3.1752473407871915   790        
80       3.173133897263516    800        
81       3.1697365922404095   810        
82       3.1714480685295716   820        
83       3.168800129221253    830        
84       3.166734006690037    840        
85       3.1648126250363107   850        
86       3.1648283291975097   860        
87       3.1689397071278407   870        
88       3.1685465518529368   880        
89       3.165093367338229    890        
90       3.1691064118206644   900        
91       3.1714356165625284   910        
92       3.1706040346358195   920        
93       3.159397881241474    930        
94       3.1520693937267468   940        
95       3.1489217988389058   950        
96       3.1522762568291567   960        
97       3.1502295855859375   970        
98       3.1493576132740047   980        
99       3.14851632102906     990        
100      3.15019536021842     1000
