for a= 16381, m=572
 i        volume               N          
1        4.9547424160819      10         
2        5.049116802545392    20         
3        5.295980254462332    30         
4        5.060843350428499    40         
5        4.964754434036464    50         
6        4.879587351227632    60         
7        4.898051315934101    70         
8        5.0013754453293515   80         
9        4.879834247184011    90         
10       5.015469895046406    100        
11       4.994983886626858    110        
12       5.026085780749514    120        
13       5.085469055227099    130        
14       5.1340133344659336   140        
15       5.175336296275211    150        
16       5.175718930176904    160        
17       5.176265753318104    170        
18       5.210760294501167    180        
19       5.249393534059074    190        
20       5.2887820055776675   200        
21       5.274618512760109    210        
22       5.3091429760586815   220        
23       5.257771483747744    230        
24       5.250844400997952    240        
25       5.211486870608533    250        
26       5.213732744111698    260        
27       5.222580053025536    270        
28       5.218003420801721    280        
29       5.234115493612549    290        
30       5.243296334736345    300        
31       5.240941325433049    310        
32       5.268373999857914    320        
33       5.2952931760365045   330        
34       5.2959534281313285   340        
35       5.309503966859152    350        
36       5.316568792680993    360        
37       5.334282367960289    370        
38       5.374488317462399    380        
39       5.3686615911920015   390        
40       5.3427104658690965   400        
41       5.343717140187545    410        
42       5.341665333183047    420        
43       5.333012878675047    430        
44       5.328664684567181    440        
45       5.3354942021445      450        
46       5.330380226065708    460        
47       5.356054436450713    470        
48       5.333675214686257    480        
49       5.346357450987223    490        
50       5.347980141921532    500        
51       5.324801866712223    510        
52       5.331860791730132    520        
53       5.327814545092551    530        
54       5.333864441100208    540        
55       5.345550197136984    550        
56       5.344837867892677    560        
57       5.339949217825659    570        
58       5.354040318538037    580        
59       5.354927044991138    590        
60       5.374847092814432    600        
61       5.375923918341787    610        
62       5.364079493163661    620        
63       5.352960868487461    630        
64       5.346473547020101    640        
65       5.348996761740931    650        
66       5.357150227505751    660        
67       5.358567092334352    670        
68       5.337263537162037    680        
69       5.336918421687433    690        
70       5.3326397702773605   700        
71       5.333824333748912    710        
72       5.347234156475576    720        
73       5.355499626668251    730        
74       5.342025007773058    740        
75       5.342062418505345    750        
76       5.347933769695385    760        
77       5.344105421760692    770        
78       5.346960598161051    780        
79       5.357382916389704    790        
80       5.362756803152843    800        
81       5.372605655669308    810        
82       5.396196648359952    820        
83       5.378083675397986    830        
84       5.37286634833601     840        
85       5.36990054525372     850        
86       5.371728783902938    860        
87       5.362866339819553    870        
88       5.348993336804327    880        
89       5.345539490496996    890        
90       5.3543630925316865   900        
91       5.354750048069196    910        
92       5.350027111538201    920        
93       5.349221301342814    930        
94       5.352714791674302    940        
95       5.349806241044284    950        
96       5.350963342576821    960        
97       5.337304411571526    970        
98       5.347566559751417    980        
99       5.344266157683496    990        
100      5.35123628933519     1000

for a=1021, m=65
i        volume               N          
1        5.609574356426253    10         
2        5.067282172993007    20         
3        5.269083557399316    30         
4        5.371550973145333    40         
5        5.103785736492647    50         
6        5.1001290582196335   60         
7        5.029700879226898    70         
8        5.105100363732256    80         
9        5.304323271235915    90         
10       5.383602947463491    100        
11       5.350462665954034    110        
12       5.278902416499018    120        
13       5.382971318433314    130        
14       5.330192745432463    140        
15       5.203586110262367    150        
16       5.1719884638947375   160        
17       5.124980416409268    170        
18       5.1720731528015165   180        
19       5.240999268830176    190        
20       5.194019122904993    200        
21       5.21484316175415     210        
22       5.199007037725365    220        
23       5.198121117997691    230        
24       5.163378691542729    240        
25       5.164914251484328    250        
26       5.190822970436896    260        
27       5.192349821851253    270        
28       5.17487244345374     280        
29       5.2111193828159665   290        
30       5.213547885817418    300        
31       5.179066868569633    310        
32       5.178117071174301    320        
33       5.194267436164242    330        
34       5.198191808085733    340        
35       5.180980159158665    350        
36       5.185012726735779    360        
37       5.180640798606382    370        
38       5.176264492950577    380        
39       5.1714541916197785   390        
40       5.199415475804823    400        
41       5.198052019142823    410        
42       5.208315615245147    420        
43       5.202547346699051    430        
44       5.199662674694785    440        
45       5.186744873049338    450        
46       5.186928409938952    460        
47       5.191849667786743    470        
48       5.197126958090215    480        
49       5.220020324437589    490        
50       5.220443222201719    500        
51       5.236676575064209    510        
52       5.215555070594732    520        
53       5.191774388123212    530        
54       5.178812560116852    540        
55       5.185661877853369    550        
56       5.169289533982306    560        
57       5.188214058900737    570        
58       5.191353877984379    580        
59       5.193875251399707    590        
60       5.16645758957658     600        
61       5.169192215457028    610        
62       5.151761300092435    620        
63       5.173846260211429    630        
64       5.182793180760508    640        
65       5.19949523994587     650        
66       5.194504158645578    660        
67       5.165912962296496    670        
68       5.149746852465341    680        
69       5.151886824589058    690        
70       5.1650003405258875   700        
71       5.173442740146911    710        
72       5.180348350213206    720        
73       5.159913541944875    730        
74       5.175335528269256    740        
75       5.192865644280576    750        
76       5.19776943761429     760        
77       5.214605158703521    770        
78       5.20569057693703     780        
79       5.215944046837015    790        
80       5.210879889344665    800        
81       5.218778575684073    810        
82       5.218910041212647    820        
83       5.20931809533684     830        
84       5.220753531608197    840        
85       5.222948656754109    850        
86       5.209958340987071    860        
87       5.2091962758033485   870        
88       5.211513543829679    880        
89       5.22229386958875     890        
90       5.235114949951378    900        
91       5.228399769591277    910        
92       5.2276970259547575   920        
93       5.227582311145918    930        
94       5.203991653367876    940        
95       5.19433075521954     950        
96       5.199219350188179    960        
97       5.20462635672395     970        
98       5.203043221018973    980        
99       5.211806772585273    990        
100      5.217393931585904    1000 
